Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Resettlement_ISO,Country_of_Resettlement,Female_0_17,Female_18_59,Female_60_plus,Female_unknown_age,Female_Total,Male_0_17,Male_18_59,Male_60_plus,Male_unknown_age,Male_Total,Other_Unknown,Grand_Total
2017,SYR,"Syrian Arab Rep.",NOR,"Norway",816,573,22,0,1411,1015,567,9,0,1591,0,3002
2017,IRQ,"Iraq",NLD,"Netherlands",1,1,0,0,2,1,6,0,0,7,0,9
2017,IRQ,"Iraq",IRL,"Ireland",0,2,0,0,2,0,3,0,0,3,0,5
2017,IRQ,"Iraq",CAN,"Canada",80,104,16,0,200,91,99,11,0,201,0,401
2017,SYR,"Syrian Arab Rep.",SWE,"Sweden",715,598,43,0,1356,895,597,27,0,1519,0,2875
2017,SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",1585,1742,81,0,3408,1935,1638,91,0,3664,0,7072
2017,SYR,"Syrian Arab Rep.",ARG,"Argentina",13,30,0,0,43,29,32,1,0,62,0,105
2017,SYR,"Syrian Arab Rep.",AUS,"Australia",20,21,1,0,42,19,20,0,0,39,0,81
2017,SYR,"Syrian Arab Rep.",PRT,"Portugal",63,37,1,0,101,76,44,0,0,120,0,221
2017,IRQ,"Iraq",LUX,"Luxembourg",0,0,0,0,0,0,2,0,0,2,0,2
2017,IRQ,"Iraq",FIN,"Finland",1,2,0,0,3,1,1,0,0,2,0,5
2017,IRQ,"Iraq",MCO,"Monaco",3,7,1,0,11,9,7,3,0,19,0,30
2017,SYR,"Syrian Arab Rep.",ESP,"Spain",334,279,4,0,617,448,297,7,0,752,0,1369
2017,SYR,"Syrian Arab Rep.",NLD,"Netherlands",699,611,39,0,1349,780,672,34,0,1486,0,2835
2017,SYR,"Syrian Arab Rep.",SVN,"Slovenia",19,13,1,0,33,20,13,1,0,34,0,67
2017,IRQ,"Iraq",GBR,"United Kingdom of Great Britain and Northern Ireland",167,184,8,0,359,171,114,6,0,291,0,650
2017,IRQ,"Iraq",NZL,"New Zealand",4,14,1,0,19,9,22,3,0,34,0,53
2017,IRQ,"Iraq",ITA,"Italy",0,1,0,0,1,0,3,0,0,3,0,4
2017,SYR,"Syrian Arab Rep.",CYP,"Cyprus",1,2,0,0,3,1,1,1,0,3,0,6
2017,IRQ,"Iraq",AUS,"Australia",3,14,1,0,18,18,10,1,0,29,0,47
2017,IRQ,"Iraq",CHE,"Switzerland",0,1,0,0,1,0,0,0,0,0,0,1
2017,SYR,"Syrian Arab Rep.",USA,"United States of America",1089,793,27,0,1909,1137,840,56,0,2033,0,3942
2017,SYR,"Syrian Arab Rep.",NZL,"New Zealand",205,113,5,0,323,229,123,3,0,355,0,678
