Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_departures_persons
2003,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",DNK,"Denmark",1
2003,IRQ,"Iraq",All others,"All others",SWE,"Sweden",87
2003,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",9
2003,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",1
2003,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",13
2003,IRQ,"Iraq",All others,"All others",USA,"United States of America",132
2003,IRQ,"Iraq",All others,"All others",DEU,"Germany",3
2003,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",1
2003,SYR,"Syrian Arab Rep.",All others,"All others",NZL,"New Zealand",4
2003,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",39
2003,IRQ,"Iraq",All others,"All others",DNK,"Denmark",37
2003,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",5
2003,IRQ,"Iraq",TUR,"Turkey",NLD,"Netherlands",5
2003,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",1
2003,IRQ,"Iraq",All others,"All others",FIN,"Finland",6
2003,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",73
2003,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2003,IRQ,"Iraq",All others,"All others",FRA,"France",1
2003,IRQ,"Iraq",AZE,"Azerbaijan",CHL,"Chile",1
2003,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",57
2003,IRQ,"Iraq",TUR,"Turkey",NOR,"Norway",12
2003,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",20
2003,IRQ,"Iraq",AZE,"Azerbaijan",FIN,"Finland",5
2003,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",28
2003,IRQ,"Iraq",All others,"All others",IRL,"Ireland",6
2003,IRQ,"Iraq",AZE,"Azerbaijan",NOR,"Norway",1
2003,IRQ,"Iraq",ROU,"Romania",CHE,"Switzerland",1
2003,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",6
2003,IRQ,"Iraq",ROU,"Romania",SWE,"Sweden",5
2003,IRQ,"Iraq",All others,"All others",NOR,"Norway",56
2003,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",16
2003,IRQ,"Iraq",All others,"All others",AUS,"Australia",431
2003,IRQ,"Iraq",AZE,"Azerbaijan",SWE,"Sweden",1
2003,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",173
2003,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",5
2003,IRQ,"Iraq",RUS,"Russian Federation",SWE,"Sweden",1
2003,IRQ,"Iraq",All others,"All others",CAN,"Canada",191
2004,IRQ,"Iraq",AZE,"Azerbaijan",SWE,"Sweden",5
2004,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",28
2004,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",3
2004,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",27
2004,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",55
2004,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",9
2004,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",3
2004,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",5
2004,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",45
2004,IRQ,"Iraq",TUR,"Turkey",CHE,"Switzerland",3
2005,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",15
2005,SYR,"Syrian Arab Rep.",CYP,"Cyprus",SWE,"Sweden",3
2005,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",10
2005,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",3
2005,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2005,IRQ,"Iraq",UKR,"Ukraine",NLD,"Netherlands",1
2005,SYR,"Syrian Arab Rep.",UKR,"Ukraine",USA,"United States of America",2
2005,IRQ,"Iraq",TUR,"Turkey",POL,"Poland",1
2006,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",16
2006,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",4
2006,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",1
2006,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",1
2006,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",21
2006,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",11
2006,IRQ,"Iraq",AZE,"Azerbaijan",NOR,"Norway",4
2006,IRQ,"Iraq",UKR,"Ukraine",SWE,"Sweden",3
2006,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",12
2006,IRQ,"Iraq",ALB,"Albania",AUS,"Australia",3
2006,IRQ,"Iraq",RUS,"Russian Federation",NZL,"New Zealand",2
2007,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",4
2007,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",1
2007,IRQ,"Iraq",CYP,"Cyprus",SWE,"Sweden",3
2007,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",3
2007,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",944
2007,IRQ,"Iraq",GEO,"Georgia",DNK,"Denmark",1
2007,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",1
2007,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",21
2007,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",11
2007,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",1
2008,IRQ,"Iraq",TUR,"Turkey",FRA,"France",7
2008,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",3
2008,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",NOR,"Norway",4
2008,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",4
2008,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",USA,"United States of America",13
2008,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",20
2008,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",23
2008,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",2133
2008,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",CAN,"Canada",15
2008,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",200
2008,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",35
2009,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",1
2009,IRQ,"Iraq",TUR,"Turkey",CHE,"Switzerland",5
2009,IRQ,"Iraq",AZE,"Azerbaijan",USA,"United States of America",10
2009,IRQ,"Iraq",TUR,"Turkey",FRA,"France",16
2009,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",17
2009,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",14
2009,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",USA,"United States of America",6
2009,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",17
2009,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",20
2009,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",1
2009,SYR,"Syrian Arab Rep.",UKR,"Ukraine",SWE,"Sweden",1
2009,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",3665
2009,IRQ,"Iraq",AZE,"Azerbaijan",NZL,"New Zealand",1
2009,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",CAN,"Canada",9
2009,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",374
2009,IRQ,"Iraq",UKR,"Ukraine",SWE,"Sweden",3
2009,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",88
2010,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",284
2010,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",72
2010,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",1
2010,IRQ,"Iraq",TUR,"Turkey",CHE,"Switzerland",1
2010,IRQ,"Iraq",AZE,"Azerbaijan",USA,"United States of America",9
2010,IRQ,"Iraq",TUR,"Turkey",FRA,"France",11
2010,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",4
2010,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",1
2010,IRQ,"Iraq",TUR,"Turkey",NOR,"Norway",1
2010,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",11
2010,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",2
2010,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",3184
2010,IRQ,"Iraq",RUS,"Russian Federation",FIN,"Finland",1
2011,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",211
2011,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",4
2011,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",SWE,"Sweden",3
2011,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",2
2011,IRQ,"Iraq",TUR,"Turkey",NLD,"Netherlands",2
2011,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",1
2011,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",561
