Extracted:,United Nations High Commissioner for Refugees
Date extracted:,14/02/2020 12:50:01
Last updated:,14/02/2020 12:50:01

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, December 2019
Country of origin:,"IRQ,SYR"
Country of asylum:,"DZA,BHR,EGY,IRQ,ISR,JOR,KWT,LBN,LBY,MRT,MAR,OMN,QAT,SAU,PSE,SYR,TUN,ARE,YEM"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2003,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",90
2003,IRQ,"Iraq",All others,"All others",CHL,"Chile",1
2003,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",7
2003,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",1
2003,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",4
2003,IRQ,"Iraq",All others,"All others",DEU,"Germany",74
2003,IRQ,"Iraq",EGY,"Egypt",CAN,"Canada",1
2003,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",8
2003,IRQ,"Iraq",All others,"All others",DNK,"Denmark",14
2003,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",1
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",IRL,"Ireland",6
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",6
2003,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",19
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",29
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",11
2003,IRQ,"Iraq",All others,"All others",FIN,"Finland",18
2003,IRQ,"Iraq",LBN,"Lebanon",DNK,"Denmark",8
2003,IRQ,"Iraq",KWT,"Kuwait",FRA,"France",1
2003,IRQ,"Iraq",All others,"All others",GBR,"United Kingdom of Great Britain and Northern Ireland",10
2003,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",93
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",50
2003,IRQ,"Iraq",YEM,"Yemen",DNK,"Denmark",2
2003,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",46
2003,IRQ,"Iraq",All others,"All others",NLD,"Netherlands",6
2003,IRQ,"Iraq",SAU,"Saudi Arabia",SWE,"Sweden",1
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",14
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",15
2003,IRQ,"Iraq",All others,"All others",NOR,"Norway",53
2003,SYR,"Syrian Arab Rep.",JOR,"Jordan",NZL,"New Zealand",4
2003,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",80
2003,IRQ,"Iraq",JOR,"Jordan",NLD,"Netherlands",2
2003,IRQ,"Iraq",KWT,"Kuwait",CAN,"Canada",1
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",27
2003,IRQ,"Iraq",JOR,"Jordan",DEU,"Germany",2
2003,IRQ,"Iraq",All others,"All others",AUS,"Australia",148
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NLD,"Netherlands",2
2003,IRQ,"Iraq",All others,"All others",SWE,"Sweden",92
2003,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",193
2003,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",19
2003,IRQ,"Iraq",JOR,"Jordan",NOR,"Norway",1
2003,IRQ,"Iraq",All others,"All others",CAN,"Canada",152
2003,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",62
2003,IRQ,"Iraq",All others,"All others",USA,"United States of America",43
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CHE,"Switzerland",1
2003,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",8
2003,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",1
2003,IRQ,"Iraq",LBY,"Libya",DNK,"Denmark",2
2003,IRQ,"Iraq",EGY,"Egypt",AUS,"Australia",1
2003,SYR,"Syrian Arab Rep.",All others,"All others",AUS,"Australia",5
2004,SYR,"Syrian Arab Rep.",SAU,"Saudi Arabia",NOR,"Norway",1
2004,SYR,"Syrian Arab Rep.",EGY,"Egypt",CAN,"Canada",5
2004,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",10
2004,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",4
2004,IRQ,"Iraq",LBN,"Lebanon",NLD,"Netherlands",6
2004,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2004,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2004,IRQ,"Iraq",LBN,"Lebanon",NZL,"New Zealand",1
2004,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",54
2004,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",15
2004,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",19
2004,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",208
2004,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",58
2004,IRQ,"Iraq",YEM,"Yemen",NLD,"Netherlands",3
2004,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",10
2005,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",109
2005,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",117
2005,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",36
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NZL,"New Zealand",25
2005,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",18
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",SWE,"Sweden",4
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",52
2005,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2005,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",9
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",3
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",32
2005,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",29
2005,IRQ,"Iraq",JOR,"Jordan",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",21
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",NLD,"Netherlands",7
2005,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2005,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",133
2005,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",8
2005,SYR,"Syrian Arab Rep.",JOR,"Jordan",AUS,"Australia",4
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",DNK,"Denmark",2
2006,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",4
2006,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",39
2006,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",17
2006,IRQ,"Iraq",ARE,"United Arab Emirates",USA,"United States of America",4
2006,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",82
2006,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",70
2006,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NLD,"Netherlands",3
2006,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",49
2006,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",2
2006,IRQ,"Iraq",JOR,"Jordan",CHE,"Switzerland",5
2006,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",36
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",32
2006,IRQ,"Iraq",LBN,"Lebanon",GBR,"United Kingdom of Great Britain and Northern Ireland",1
2006,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",USA,"United States of America",27
2006,SYR,"Syrian Arab Rep.",JOR,"Jordan",CAN,"Canada",1
2006,IRQ,"Iraq",KWT,"Kuwait",USA,"United States of America",14
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",CAN,"Canada",9
2006,IRQ,"Iraq",LBN,"Lebanon",CAN,"Canada",18
2006,SYR,"Syrian Arab Rep.",IRQ,"Iraq",BEL,"Belgium",1
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",SWE,"Sweden",19
2006,IRQ,"Iraq",SYR,"Syrian Arab Rep.",AUS,"Australia",1
2006,SYR,"Syrian Arab Rep.",ARE,"United Arab Emirates",CAN,"Canada",4
2007,IRQ,"Iraq",ARE,"United Arab Emirates",DNK,"Denmark",4
2007,SYR,"Syrian Arab Rep.",LBN,"Lebanon",NOR,"Norway",3
2007,IRQ,"Iraq",YEM,"Yemen",SWE,"Sweden",4
2007,IRQ,"Iraq",LBN,"Lebanon",NOR,"Norway",1
2007,SYR,"Syrian Arab Rep.",JOR,"Jordan",USA,"United States of America",5
2007,IRQ,"Iraq",LBN,"Lebanon",AUS,"Australia",30
2007,IRQ,"Iraq",JOR,"Jordan",CAN,"Canada",32
2007,IRQ,"Iraq",JOR,"Jordan",DNK,"Denmark",7
2007,IRQ,"Iraq",LBN,"Lebanon",USA,"United States of America",186
2007,IRQ,"Iraq",JOR,"Jordan",AUS,"Australia",25
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",FIN,"Finland",16
2007,IRQ,"Iraq",LBN,"Lebanon",SWE,"Sweden",165
2007,IRQ,"Iraq",JOR,"Jordan",SWE,"Sweden",291
2007,IRQ,"Iraq",LBY,"Libya",CAN,"Canada",4
2007,IRQ,"Iraq",JOR,"Jordan",USA,"United States of America",1044
2007,SYR,"Syrian Arab Rep.",LBN,"Lebanon",SWE,"Sweden",1
2007,IRQ,"Iraq",EGY,"Egypt",NLD,"Netherlands",2
2007,IRQ,"Iraq",EGY,"Egypt",USA,"United States of America",86
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",USA,"United States of America",267
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2007,IRQ,"Iraq",JOR,"Jordan",NZL,"New Zealand",4
2007,IRQ,"Iraq",SYR,"Syrian Arab Rep.",NOR,"Norway",25
2007,IRQ,"Iraq",JOR,"Jordan",BRA,"Brazil",4
2007,IRQ,"Iraq",JOR,"Jordan",ESP,"Spain",3
