Extracted:,United Nations High Commissioner for Refugees
Date extracted:,14/02/2020 12:47:07
Last updated:,14/02/2020 12:47:07

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019"
2019 data (if included) as of:, December 2019
Country of origin:,"IRQ,SYR"
Country of asylum:,"AFG,BGD,KHM,CHN,HKG,MAC,FJI,IND,IDN,IRN,KAZ,KGZ,MYS,FSM,MNG,MMR,NRU,NPL,PAK,PLW,PNG,PHL,WSM,SGP,SLB,LKA,TJK,THA,TLS,TKM,UZB,VUT,VNM"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons)
2003,IRQ,"Iraq",THA,"Thailand",NOR,"Norway",4
2003,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",4
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",CAN,"Canada",10
2003,IRQ,"Iraq",THA,"Thailand",CAN,"Canada",4
2003,IRQ,"Iraq",All others,"All others",BRA,"Brazil",6
2003,IRQ,"Iraq",IDN,"Indonesia",AUS,"Australia",34
2003,IRQ,"Iraq",MYS,"Malaysia",DNK,"Denmark",1
2003,IRQ,"Iraq",All others,"All others",NOR,"Norway",27
2003,IRQ,"Iraq",MYS,"Malaysia",CAN,"Canada",7
2003,IRQ,"Iraq",NPL,"Nepal",NZL,"New Zealand",1
2003,IRQ,"Iraq",All others,"All others",CAN,"Canada",271
2003,IRQ,"Iraq",IRN,"Iran (Islamic Rep. of)",GBR,"United Kingdom of Great Britain and Northern Ireland",2
2003,IRQ,"Iraq",All others,"All others",NZL,"New Zealand",49
2003,IRQ,"Iraq",THA,"Thailand",NZL,"New Zealand",17
2003,IRQ,"Iraq",PAK,"Pakistan",USA,"United States of America",11
2003,IRQ,"Iraq",All others,"All others",CHE,"Switzerland",5
2003,IRQ,"Iraq",THA,"Thailand",DNK,"Denmark",2
2003,IRQ,"Iraq",All others,"All others",SWE,"Sweden",122
2003,SYR,"Syrian Arab Rep.",IDN,"Indonesia",NZL,"New Zealand",1
2003,IRQ,"Iraq",IDN,"Indonesia",GBR,"United Kingdom of Great Britain and Northern Ireland",4
2003,IRQ,"Iraq",All others,"All others",DEU,"Germany",68
2003,IRQ,"Iraq",PAK,"Pakistan",CAN,"Canada",1
2003,IRQ,"Iraq",All others,"All others",USA,"United States of America",54
2003,IRQ,"Iraq",THA,"Thailand",NLD,"Netherlands",1
2003,IRQ,"Iraq",LKA,"Sri Lanka",CAN,"Canada",1
2003,IRQ,"Iraq",IDN,"Indonesia",SWE,"Sweden",10
