Year,Country_of_Origin_ISO,Country_of_Origin,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Resettlement_ISO,Country_of_Resettlement,Total_submissons_persons
2003,IRQ,"Iraq",ROU,"Romania",CHE,"Switzerland",1
2003,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",83
2003,IRQ,"Iraq",TUR,"Turkey",DNK,"Denmark",3
2003,IRQ,"Iraq",TUR,"Turkey",CHE,"Switzerland",3
2003,IRQ,"Iraq",TUR,"Turkey",NOR,"Norway",15
2003,IRQ,"Iraq",TUR,"Turkey",NLD,"Netherlands",1
2003,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",5
2003,SYR,"Syrian Arab Rep.",UKR,"Ukraine",SWE,"Sweden",1
2003,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",30
2003,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",100
2003,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",31
2003,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",5
2003,IRQ,"Iraq",TUR,"Turkey",GBR,"United Kingdom of Great Britain and Northern Ireland",6
2003,IRQ,"Iraq",AZE,"Azerbaijan",NZL,"New Zealand",17
2003,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",7
2003,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",31
2003,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",65
2003,SYR,"Syrian Arab Rep.",TUR,"Turkey",AUS,"Australia",5
2003,IRQ,"Iraq",AZE,"Azerbaijan",SWE,"Sweden",4
2004,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",30
2004,IRQ,"Iraq",RUS,"Russian Federation",DNK,"Denmark",5
2004,SYR,"Syrian Arab Rep.",UKR,"Ukraine",NOR,"Norway",1
2004,IRQ,"Iraq",RUS,"Russian Federation",NLD,"Netherlands",8
2004,IRQ,"Iraq",AZE,"Azerbaijan",SWE,"Sweden",2
2004,IRQ,"Iraq",UKR,"Ukraine",NLD,"Netherlands",4
2004,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",61
2004,SYR,"Syrian Arab Rep.",UKR,"Ukraine",NLD,"Netherlands",1
2004,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",36
2004,SYR,"Syrian Arab Rep.",TUR,"Turkey",SWE,"Sweden",5
2004,IRQ,"Iraq",RUS,"Russian Federation",FIN,"Finland",5
2004,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",13
2004,IRQ,"Iraq",UKR,"Ukraine",SWE,"Sweden",5
2004,IRQ,"Iraq",TUR,"Turkey",FIN,"Finland",12
2004,IRQ,"Iraq",AZE,"Azerbaijan",NZL,"New Zealand",5
2004,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",3
2004,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",2
2004,IRQ,"Iraq",UKR,"Ukraine",FIN,"Finland",1
2004,IRQ,"Iraq",UKR,"Ukraine",CAN,"Canada",4
2004,SYR,"Syrian Arab Rep.",UKR,"Ukraine",USA,"United States of America",1
2004,SYR,"Syrian Arab Rep.",UKR,"Ukraine",CAN,"Canada",8
2005,IRQ,"Iraq",AZE,"Azerbaijan",CAN,"Canada",15
2005,IRQ,"Iraq",ALB,"Albania",AUS,"Australia",3
2005,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",3
2005,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",11
2005,IRQ,"Iraq",TUR,"Turkey",POL,"Poland",1
2005,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",11
2005,IRQ,"Iraq",TUR,"Turkey",NOR,"Norway",3
2005,IRQ,"Iraq",TUR,"Turkey",NLD,"Netherlands",17
2005,IRQ,"Iraq",UKR,"Ukraine",NLD,"Netherlands",1
2005,SYR,"Syrian Arab Rep.",CYP,"Cyprus",SWE,"Sweden",3
2005,IRQ,"Iraq",TUR,"Turkey",SWE,"Sweden",1
2005,IRQ,"Iraq",HUN,"Hungary",FIN,"Finland",1
2005,SYR,"Syrian Arab Rep.",UKR,"Ukraine",SWE,"Sweden",8
2005,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",29
2005,IRQ,"Iraq",ARM,"Armenia",CAN,"Canada",2
2006,IRQ,"Iraq",TUR,"Turkey",USA,"United States of America",8
2006,SYR,"Syrian Arab Rep.",TUR,"Turkey",USA,"United States of America",1
2006,IRQ,"Iraq",UKR,"Ukraine",USA,"United States of America",5
2006,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",34
2006,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",6
2006,IRQ,"Iraq",TUR,"Turkey",CAN,"Canada",21
2006,IRQ,"Iraq",AZE,"Azerbaijan",NOR,"Norway",4
2006,SYR,"Syrian Arab Rep.",TUR,"Turkey",CAN,"Canada",2
2006,IRQ,"Iraq",UKR,"Ukraine",CAN,"Canada",3
2006,IRQ,"Iraq",RUS,"Russian Federation",NZL,"New Zealand",2
2006,IRQ,"Iraq",UKR,"Ukraine",SWE,"Sweden",4
2006,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",15
2007,IRQ,"Iraq",CYP,"Cyprus",SWE,"Sweden",3
2007,IRQ,"Iraq",TUR,"Turkey",DEU,"Germany",1
2007,IRQ,"Iraq",GEO,"Georgia",DNK,"Denmark",1
2007,IRQ,"Iraq",MLT,"Malta",USA,"United States of America",3
2007,IRQ,"Iraq",TUR,"Turkey",AUS,"Australia",198
2007,IRQ,"Iraq",RUS,"Russian Federation",USA,"United States of America",13
2007,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",NOR,"Norway",8
2007,SYR,"Syrian Arab Rep.",RUS,"Russian Federation",USA,"United States of America",3
2007,SYR,"Syrian Arab Rep.",UKR,"Ukraine",NOR,"Norway",8
2007,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",USA,"United States of America",1
2007,IRQ,"Iraq",SRB,"Serbia and Kosovo: S/RES/1244 (1999)",CAN,"Canada",19
